日期,品种,标的,多空,数量,可用数量,现价,市值/价值,盈亏/逐笔浮盈,开仓均价,持仓均价（期货）,保证金,当日盈亏,今手数,仓位占比,盈亏占比
2025-07-29,股票,扬子新材(002652.XSHE),多,200900股,0股,3.9,783510,2009(0.26%),3.89,-,0,2009,200900股,33.37%,0.26%
2025-07-30,股票,通用电梯(300931.XSHE),多,94400股,94400股,8.36,789184,5664(0.72%),8.3,-,0,0,0股,33.62%,0.72%
2025-07-30,股票,欧亚集团(600697.XSHG),多,61900股,61900股,12.52,774988,-9285(-1.18%),12.67,-,0,0,0股,33.01%,-1.18%
2025-07-30,股票,扬子新材(002652.XSHE),多,200900股,200900股,3.9,783510,2009(0.26%),3.89,-,0,0,0股,33.37%,0.26%
2025-07-31,股票,通用电梯(300931.XSHE),多,94400股,94400股,8.33,786352,2832(0.36%),8.3,-,0,-3776,0股,33.96%,0.36%
2025-07-31,股票,欧亚集团(600697.XSHG),多,61900股,61900股,12.31,761989,-22284(-2.84%),12.67,-,0,-16094,0股,32.9%,-2.84%
2025-07-31,股票,扬子新材(002652.XSHE),多,200900股,200900股,3.82,767438,-14063(-1.8%),3.89,-,0,-70315,0股,33.14%,-1.8%
2025-08-01,股票,通用电梯(300931.XSHE),多,94400股,94400股,8.33,786352,2832(0.36%),8.3,-,0,0,0股,33.96%,0.36%
2025-08-01,股票,欧亚集团(600697.XSHG),多,61900股,61900股,12.31,761989,-22284(-2.84%),12.67,-,0,0,0股,32.9%,-2.84%
2025-08-01,股票,扬子新材(002652.XSHE),多,200900股,200900股,3.82,767438,-14063(-1.8%),3.89,-,0,0,0股,33.14%,-1.8%
2025-08-04,股票,通用电梯(300931.XSHE),多,94400股,94400股,8.53,805232,21712(2.77%),8.3,-,0,0,0股,33.31%,2.77%
2025-08-04,股票,欧亚集团(600697.XSHG),多,61900股,61900股,12.41,768179,-16094(-2.05%),12.67,-,0,0,0股,31.78%,-2.05%
2025-08-04,股票,扬子新材(002652.XSHE),多,200900股,200900股,4.2,843780,62279(7.97%),3.89,-,0,0,0股,34.91%,7.97%
